"sk_loan_fact","sk_customer","sk_product","sk_branch","sk_employee","sk_collateral_type","sk_date_application","sk_date_approval","sk_date_disbursement","application_id","approval_id","disbursement_id","assessment_id","pledge_id","app_status","requested_amount","approved_amount","disbursed_amount","tenor_months","final_rate","dti_ratio","pd_score","credit_score","appraised_value"
1,3,7,1,11,13,71,74,73,1,1,1,1,1,Under Review,420000000.00,70000000.00,340000000.00,12,8.12,59.61,0.0396,550,100000000.00
2,6,14,2,22,26,93,95,94,2,2,2,2,2,Approved,370000000.00,150000000.00,230000000.00,24,16.99,55.29,0.2474,729,260000000.00
3,9,21,3,33,39,108,113,110,3,3,3,3,3,Rejected,70000000.00,200000000.00,250000000.00,60,15.45,41.81,0.3409,652,770000000.00
4,12,28,4,44,52,135,139,137,4,4,4,4,4,Disbursed,470000000.00,240000000.00,190000000.00,12,8.01,28.90,0.2261,596,540000000.00
5,15,35,5,55,65,151,158,154,5,5,5,5,5,Submitted,400000000.00,160000000.00,220000000.00,24,15.36,42.85,0.2428,467,140000000.00
6,18,42,6,66,78,174,175,175,6,6,6,6,6,Under Review,190000000.00,360000000.00,390000000.00,12,8.65,37.94,0.1001,622,780000000.00
7,21,49,7,77,91,182,185,184,7,7,7,7,7,Approved,390000000.00,400000000.00,260000000.00,60,6.26,20.48,0.2233,441,610000000.00
8,24,56,8,88,4,198,201,200,8,8,8,8,8,Rejected,350000000.00,340000000.00,340000000.00,36,14.64,20.58,0.1578,417,400000000.00
9,27,63,9,99,17,215,218,217,9,9,9,9,9,Disbursed,420000000.00,30000000.00,250000000.00,36,6.84,61.12,0.3223,503,690000000.00
10,30,70,10,10,30,230,232,231,10,10,10,10,10,Submitted,170000000.00,120000000.00,400000000.00,12,8.68,41.64,0.0528,380,770000000.00
11,33,77,11,21,43,242,249,245,11,11,11,11,11,Under Review,150000000.00,390000000.00,390000000.00,120,12.15,37.57,0.0943,619,90000000.00
12,36,84,12,32,56,61,63,63,12,12,12,12,12,Approved,20000000.00,100000000.00,380000000.00,12,14.18,40.71,0.1047,534,760000000.00
13,39,91,13,43,69,79,83,82,13,13,13,13,13,Rejected,170000000.00,50000000.00,230000000.00,60,10.33,35.56,0.3037,396,190000000.00
14,42,98,14,54,82,98,101,100,14,14,14,14,14,Disbursed,170000000.00,80000000.00,360000000.00,24,6.11,27.49,0.3239,759,770000000.00
15,45,5,15,65,95,118,125,122,15,15,15,15,15,Submitted,70000000.00,200000000.00,370000000.00,24,10.58,33.95,0.3450,797,650000000.00
16,48,12,16,76,8,141,145,143,16,16,16,16,16,Under Review,110000000.00,120000000.00,340000000.00,24,6.18,17.86,0.2086,359,740000000.00
17,51,19,17,87,21,160,167,163,17,17,17,17,17,Approved,130000000.00,350000000.00,180000000.00,12,9.30,16.99,0.0379,540,790000000.00
18,54,26,18,98,34,177,178,178,18,18,18,18,18,Rejected,440000000.00,80000000.00,150000000.00,36,6.38,61.45,0.3281,705,790000000.00
19,57,33,19,9,47,188,191,190,19,19,19,19,19,Disbursed,180000000.00,20000000.00,370000000.00,24,13.51,42.16,0.1129,550,740000000.00
20,60,40,20,20,60,204,207,206,20,20,20,20,20,Submitted,440000000.00,340000000.00,50000000.00,12,11.36,45.24,0.2540,418,400000000.00
21,63,47,1,31,73,221,225,223,21,21,21,21,21,Under Review,420000000.00,20000000.00,110000000.00,60,6.84,23.08,0.1602,303,780000000.00
22,66,54,2,42,86,233,235,234,22,22,22,22,22,Approved,40000000.00,150000000.00,80000000.00,36,13.68,59.95,0.2807,451,520000000.00
23,69,61,3,53,99,251,257,254,23,23,23,23,23,Rejected,370000000.00,170000000.00,80000000.00,60,8.70,23.97,0.3243,542,590000000.00
